Epoch,Train Accuracy,Train Loss,Valid Accuracy,Valid Loss
1,0.477,1.742,0.485,1.396
2,0.571,1.313,0.543,1.261
3,0.604,1.121,0.608,1.087
4,0.692,0.991,0.649,0.994
5,0.68,0.895,0.652,0.958
6,0.697,0.818,0.68,0.905
7,0.744,0.75,0.699,0.862
8,0.757,0.683,0.699,0.851
9,0.785,0.626,0.712,0.824
10,0.813,0.576,0.733,0.795
11,0.803,0.515,0.732,0.791
12,0.805,0.472,0.721,0.826
13,0.84,0.421,0.729,0.844
14,0.843,0.379,0.744,0.791
15,0.887,0.337,0.737,0.849
16,0.881,0.301,0.744,0.846
17,0.9,0.265,0.742,0.863
18,0.903,0.239,0.746,0.893
19,0.918,0.21,0.756,0.894
20,0.923,0.189,0.741,0.971
